time	whole_blood_radioactivity	plasma_radioactivity	metabolite_parent_fraction
0	0.0117197407165295	0.942401858714121	1
300	2.59167722661411	2.60382573968554	0.875973772
600	1.50636037972365	1.51087881930352	0.730780329
1200	1.24789907668574	1.25095394422955	0.482675004
2400	1.29040803118297	1.30235827809194	0.258329601
3600	1.34839966134635	1.36357023232159	0.148190468
4819.00002	1.43674957102361	1.42253744750714	0.124919952
