time	whole_blood_radioactivity
1.002	0.0639066905197195
1.998	0.190345324346389
3	0.00166965627205245
4.002	0.189737195703432
4.998	0.0132188911589468
6	0.192014037106344
7.002	0.0178150423265064
7.998	0.138059064457672
9	0.133860581706718
10.002	0.248724929757508
10.998	0.255796261246284
12	0.130282807315169
13.002	0.0597136587667452
13.998	0.121233191421971
15	0.136137214373993
16.002	0.128635930224242
16.998	0.195424113491525
18	0.123273101680419
19.002	0.0706218268307755
19.998	0.0125976677012884
21	0.179571820315251
22.002	0.191327268382343
22.998	0.723818229245461
24	1.55454165158084
25.002	1.92299139978355
25.998	3.65345420792124
27	6.10972167495092
28.002	7.67340788341815
28.998	9.9564782982123
30	12.6053794434895
31.002	15.4349840482182
31.998	17.8023389583372
33	19.4314593371176
34.002	21.1956129335609
34.998	24.1670562607889
36	21.6413163202697
37.002	27.877640021115
37.998	26.1982716633059
39	24.512830645552
40.002	24.4735231458694
40.998	29.4620429631068
42	28.2665345481172
43.002	28.9984118866459
43.998	26.768086227175
45	26.3653985914148
46.002	25.5922162365033
46.998	23.9616465790329
48	25.7341275103106
49.002	25.9460656624259
49.998	22.839473424142
51	21.3918881885316
52.002	19.2735028224381
52.998	22.4533522088175
54	19.4268221728787
55.002	19.1319481952968
55.998	17.4240565578057
57	19.4049830276922
58.002	19.9006512336336
58.998	19.300836833076
60	15.7520840900139
61.002	13.8201568112608
61.998	13.1565641023792
63	16.5933029662448
64.002	14.1498257763337
64.998	14.4627801797853
66	13.7297275483718
67.002	11.9519540492101
67.998	13.7429787899347
69	11.5348356250198
70.002	11.1707337909749
70.998	11.5640078341214
72	10.0204661212917
73.002	10.0260226766895
73.998	10.4017897256367
75	9.60969136374058
76.002	9.31065396812932
76.998	8.74860756362986
78	8.02975113224839
79.002	8.21376165089977
79.998	7.79209199898547
81	7.84815058388654
82.002	7.2364455329611
82.998	8.16041478968882
84	8.10560815067578
85.002	7.56264316123922
85.998	7.06469057990407
87	6.64618572275669
88.002	7.31650610396893
88.998	5.7868873585757
90	8.01624864198076
91.002	8.27265034838645
91.998	5.85905983240195
93	6.2212289868963
94.002	5.54290545077786
94.998	5.1113247988325
96	7.11343614156984
97.002	5.31112008077815
97.998	5.36211143080391
99	6.17779333907774
100.002	6.62194969826964
100.998	5.43281309378137
102	6.07016571347323
103.002	5.56961197949354
103.998	4.69369038059351
105	4.32146393347986
106.002	4.90148507118009
106.998	3.95973182354672
108	4.96098736399808
109.002	5.16088064948479
109.998	4.08054223149559
111	5.54025092147403
112.002	4.60051634911193
112.998	5.92016122850563
114	4.28011888195031
115.002	3.97608622700676
115.998	4.6651727398018
117	4.53845745865657
118.002	4.29038503066718
118.998	3.86486283350882
120	3.40875405625574
121.002	4.36142973117873
121.998	4.80250508784417
123	3.10585044114129
124.002	3.09903566400935
124.998	4.06789782701947
126	4.43620516382735
127.002	4.0564104103351
127.998	4.50685333799176
129	3.62417115333687
130.002	3.74608238787249
130.998	4.2741937945531
132	2.86531885666905
133.002	3.94711693631776
133.998	3.56292290442639
135	2.99679987943776
136.002	4.13988302529796
136.998	3.96021656284915
138	3.1386635177338
139.002	3.32921239998427
139.998	3.06494283301552
141	3.38583524846261
142.002	3.52949181073098
142.998	2.44710069488447
144	3.14474143903534
145.002	4.29033208424085
145.998	3.73058917715711
147	3.40249895437604
148.002	2.89057646106053
148.998	3.47867026855407
150	3.01655473236687
151.002	3.53287194678506
151.998	4.18998732243147
153	3.16214935967662
154.002	2.45469804931591
154.998	3.29699618896446
156	2.78312306970631
157.002	2.39951854103599
157.998	2.71339453951228
159	2.91657263972773
160.002	2.65728339669928
160.998	2.72016941585163
162	3.29667081334108
163.002	3.50691851062982
163.998	3.82358767728104
165	2.53634031814526
166.002	2.73475508099004
166.998	2.52914026483947
168	3.04980976759566
169.002	2.7355448021403
169.998	3.5148865881717
171	3.13520351358369
172.002	2.48519720557626
172.998	1.70501282167392
174	2.53810763772225
175.002	3.45146770598198
175.998	2.47658754919349
177	2.23148901728228
178.002	2.43127016279141
178.998	1.97072531144817
180	2.48307165911427
181.002	2.82291249079314
181.998	2.61616906961285
183	2.29080785704304
184.002	2.69517435845932
184.998	2.49403928429514
186	1.71589124045192
187.002	2.43971862926207
187.998	2.4377737146291
189	2.90163464655976
190.002	2.43355553829496
190.998	3.36470515083392
192	2.64821897050173
193.002	2.84494660583504
193.998	3.15998769059727
195	2.57476173232638
196.002	2.3786309760866
196.998	2.64996156945323
198	1.85828183270768
199.002	2.72102927887284
199.998	4.10093205836876
201	1.9196445571901
202.002	1.52175933094791
202.998	2.26382367834198
204	2.5846644904293
205.002	2.25869743262096
205.998	2.46200257063914
207	2.52322606504046
208.002	2.00229481240798
208.998	1.20397160744796
210	2.26035191050233
211.002	1.54343163933176
211.998	2.46132112644725
213	1.93446632667517
214.002	2.46684346039411
214.998	2.07456444514056
216	2.13357297462679
217.002	3.07442530839761
217.998	2.40307092494232
219	2.00413367924312
220.002	1.75160755781488
220.998	2.21043440635814
222	2.08421566877502
223.002	2.69465245334432
223.998	2.75246369987941
225	2.55834604389236
226.002	2.22601698550579
226.998	2.48894084652294
228	2.09230696079607
229.002	2.08257010101446
229.998	2.30170219696771
231	1.88490021612843
232.002	1.82030957677815
232.998	1.56290260520423
234	2.09602607550868
235.002	2.30487916528118
235.998	3.04001513490436
237	1.96043477588247
238.002	1.68699069268141
238.998	2.10565589828217
240	1.69674828918504
241.002	1.69814878469809
241.998	1.9051031433858
243	2.30108406593717
244.002	2.03674722876678
244.998	1.84385144261726
246	2.18219665978012
247.002	2.71447964362218
247.998	2.03763802900779
249	1.83439004677438
250.002	1.76581940587139
250.998	1.97899918770328
252	1.57679146349876
253.002	1.64705645049384
253.998	2.80145118587165
255	2.18152335876546
256.002	2.73846532747057
256.998	1.77520599730659
258	1.70813906608627
259.002	1.64012688185422
259.998	2.32498454496864
261	1.78006102596983
262.002	1.91839197844514
262.998	1.57980059550299
264	2.19681157998293
265.002	1.78507626618846
265.998	2.19798583692031
267	2.62355344810572
268.002	1.31753246449113
268.998	1.65857275885439
270	1.85815467335515
271.002	2.40963161685065
271.998	1.58303793616225
273	1.32544000821559
274.002	1.94165530435394
274.998	2.2842177793351
276	1.93597357979873
277.002	1.79619107125804
277.998	1.8063329451856
279	2.15988069469905
280.002	2.00657364046114
280.998	1.73296784501144
282	2.01337098637266
283.002	1.86964889539154
283.998	1.81366992133924
285	2.50186876665392
286.002	1.40579270402788
286.998	1.74173667970445
288	1.88587943894399
289.002	1.46101139610959
289.998	1.46637690408889
291	2.08842067943699
292.002	2.37977024862655
292.998	2.10498322243831
294	1.95649153489772
295.002	1.96429071417495
295.998	2.16670797267536
297	1.82390058607714
298.002	2.1799224677257
298.998	1.54798080383745
301.002	2.03311350046666
301.998	1.47774885083139
303	1.75792591306441
304.002	1.12744112635944
304.998	2.04289238399739
306	1.41677590731404
307.002	2.46341869567251
307.998	1.27173711577152
309	1.8281504551744
310.002	1.47585468032101
310.998	1.83352570530261
312	1.55373041165798
313.002	1.13904680267933
313.998	1.42742871848141
315	1.4982636174557
316.002	0.855057726677087
316.998	1.76820756793664
318	1.99142995888573
319.002	1.85120754766262
319.998	1.99320496129957
321	1.07526176682975
322.002	1.55828640833466
322.998	1.64146320860941
324	1.28391221157187
325.002	1.5630572641051
325.998	1.91618937475376
327	1.86082848947856
328.002	1.35201819474764
328.998	1.9917723981957
330	1.93187974432822
331.002	1.43980078750708
331.998	2.00221316416703
333	1.79350204613901
334.002	1.99721080753239
334.998	2.22814814139773
336	1.86459868162483
337.002	1.93977467796421
337.998	2.07078326036097
339	1.58740607702588
340.002	1.80148837743552
340.998	1.78993174035974
342	1.58439390329525
343.002	1.93925267257527
343.998	2.30293098879806
345	1.36954061504766
346.002	1.94432386773226
346.998	1.4384697552051
348	1.51256673480976
349.002	1.22140271549316
349.998	1.67138651225241
351	2.31417999778016
352.002	1.67343827144097
352.998	1.80298724737055
354	1.89119594511784
355.002	1.74557115770778
355.998	2.03068688393413
357	1.66827871191521
358.002	1.44897327473425
358.998	1.53191692787735
360	1.45003138964211
361.002	1.59220274174784
361.998	1.24536059021553
363	2.25781004370713
364.002	1.60792825029572
364.998	1.67985421656868
366	1.3137079658725
367.002	1.60414924164408
367.998	1.25052280205751
369	1.67714255727312
370.002	1.39726779545801
370.998	0.815716470298779
372	1.47235927780688
373.002	1.39343773235144
373.998	1.76110222777723
375	2.64323588830756
376.002	2.19690428310038
376.998	1.82554437639559
378	1.11250899793999
379.002	1.03536077468538
379.998	1.54212647303758
381	1.55583506543213
382.002	1.46806242997966
382.998	2.20976502145937
384	0.671421812838165
385.002	1.32719290862966
385.998	1.83650874318581
387	1.9820016997142
388.002	1.3301132450753
388.998	1.84046500578855
390	2.51406250534939
391.002	1.3313462537303
391.998	2.07755620174936
393	1.04556259382387
394.002	2.07448051745649
394.998	1.40420410115251
396	1.78945468045191
397.002	1.11232844072386
397.998	1.86466061790479
399	1.48221240809394
400.002	1.85573227615285
400.998	1.85105800699153
402	1.41903233096493
403.002	1.11440133775506
403.998	1.48282802214947
405	1.20065346958366
406.002	1.71311975291164
406.998	1.42342933649006
408	2.16143537202144
409.002	2.16752493004887
409.998	1.63611599629261
411	0.762082399770461
412.002	1.35578817312558
412.998	1.20649394968685
414	1.50660525627222
415.002	1.64798712637251
415.998	1.95204158464633
417	1.72834289719406
418.002	1.4296300340953
418.998	1.42533439511644
420	1.79950457919324
421.002	1.65493677540904
421.998	1.57652725652053
423	1.06462999167226
424.002	1.96822608483792
424.998	0.900358839005388
426	1.66128428381334
427.002	0.977589544398018
427.998	1.36801382881112
429	1.52283889819401
430.002	1.43004392516795
430.998	1.67403896723769
432	1.58126355067273
433.002	1.74613577227493
433.998	1.52299272960166
435	1.59427075135765
436.002	1.45127518901862
436.998	1.30136109797812
438	1.44771175252161
439.002	1.51434937984825
439.998	1.59243403187424
441	1.44127582151781
442.002	0.985009397279459
442.998	1.289887833171
444	1.98302686970171
445.002	1.76306522020322
445.998	1.14525911461935
447	1.98226058180119
448.002	1.38705798833969
448.998	1.46307258378071
450	1.53457089356867
451.002	1.38946204524627
451.998	1.61424362774433
453	1.53035798528783
454.002	0.77545463720799
454.998	1.37768530573581
456	1.83740214501663
457.002	1.61704456742461
457.998	1.53850093660838
459	1.30770187026815
460.002	1.46523776436073
460.998	1.54555240111847
462	1.54307966348524
463.002	1.77317885029872
463.998	1.69814641237515
465	1.08401539839917
466.002	1.38303285453997
466.998	1.85732840269719
468	1.63338312222594
469.002	0.929550686099138
469.998	2.01935317630367
471	2.00798997522601
472.002	1.71186387723521
472.998	2.16654489729984
474	1.24172654578042
475.002	1.93280664136715
475.998	1.46892509174725
477	1.70511429187134
478.002	1.5598700886333
478.998	1.32992844145958
480	1.40625175229974
481.002	1.78039304504526
481.998	1.48826726676021
483	1.56817663995593
484.002	1.95372408441348
484.998	1.6299211971187
486	2.103325722741
487.002	1.33432579248967
487.998	2.19044626091009
489	1.48173254141329
490.002	1.01667309463547
490.998	1.49238162330008
492	1.09987284395454
493.002	1.80481032825335
493.998	2.11000689865282
495	1.17373747508997
496.002	1.42164186771395
496.998	2.04608043335871
498	1.03457356546237
499.002	1.40959577810169
499.998	1.09891855011202
501	2.03732890564845
502.002	1.73295527603847
502.998	1.25774590660938
504	1.19409183147585
505.002	1.64960479299364
505.998	1.96348831143525
507	1.7391919031161
508.002	1.35148290134375
508.998	1.50031180114993
510	1.49849964958629
511.002	1.18762511356495
511.998	1.65837091274087
513	1.7441300503953
514.002	1.5953032864653
514.998	1.51173747877305
516	2.13370167777625
517.002	1.27167909505453
517.998	2.21422933230447
519	1.27531965826406
520.002	1.67031342343768
520.998	1.76175220699024
522	1.83824605161991
523.002	1.51567903339796
523.998	0.969531955111348
525	1.43106493189534
526.002	1.11931909828891
526.998	1.44848012449996
528	1.29010887664832
529.002	1.60490148023189
529.998	1.20598674767244
531	1.67892775780483
532.002	0.974685546533795
532.998	1.91561648081321
534	1.45022470723011
535.002	0.890716548648516
535.998	1.13449503971339
537	1.52591864456438
538.002	1.69369944418721
538.998	1.45638741020956
540	1.68705520794725
541.002	1.77268523233717
541.998	1.22134158264868
543	1.29359417066037
544.002	1.12951547219213
544.998	1.37671143110356
546	2.41635273142004
547.002	1.54170319087004
547.998	1.7769150149738
549	1.3772629020877
550.002	1.46257386466265
550.998	1.8716376777016
552	1.61803809920987
553.002	0.742296063661572
553.998	2.11214344454547
555	1.14900748912759
556.002	1.21196345259008
